constellation,num_pairs,stars,name,ra,dec,zodiac
CMi,1,"['37279', '36188']",Canis Minor,"[7.655033, 7.452512]","[5.224993, 8.289315]",False
Cnc,6,"['43103', '42806', '42806', '40167', '40167', '40526', '40526', '42911', '42911', '42806', '42911', '44066']",Cancer,"[8.778284, 8.721430999999999, 8.721430999999999, 8.203535, 8.203535, 8.275256, 8.275256, 8.74475, 8.74475, 8.721430999999999, 8.74475, 8.974784]","[28.759898, 21.468501, 21.468501, 17.647771, 17.647771, 9.185545, 9.185545, 18.154309, 18.154309, 21.468501, 18.154309, 11.857701]",True
Lyn,6,"['45860', '45688', '45688', '44248', '44248', '41075', '41075', '36145', '36145', '33449', '33449', '30060']",Lynx,"[9.350925, 9.314069, 9.314069, 9.010685, 9.010685, 8.380588000000001, 8.380588000000001, 7.445237, 7.445237, 6.954611999999999, 6.954611999999999, 6.327052]","[34.392562, 36.802597, 36.802597, 41.782911, 41.782911, 43.188131, 43.188131, 49.211527, 49.211527, 58.422759, 58.422759, 59.010964]",False
Ori,23,"['26727', '26311', '26311', '25930', '28716', '29426', '29426', '29038', '29038', '27913', '27913', '28716', '29239', '28614', '28614', '27989', '27989', '26727', '26727', '27366', '24436', '25281', '25281', '25930', '25930', '25336', '25336', '25813', '25813', '26207', '25813', '27989', '25336', '22449', '22449', '22549', '22549', '22797', '22797', '23123', '22449', '22509', '22509', '22845', '22845', '22957']",Orion,"[5.679313, 5.603559, 5.603559, 5.533445, 6.065329, 6.198999, 6.198999, 6.126201, 6.126201, 5.906386, 5.906386, 6.065329, 6.164874, 6.039722, 6.039722, 5.919529, 5.919529, 5.679313, 5.679313, 5.795941, 5.242298, 5.407949, 5.407949, 5.533445, 5.533445, 5.418851, 5.418851, 5.51307, 5.51307, 5.5856330000000005, 5.51307, 5.919529, 5.418851, 4.830669, 4.830669, 4.853434, 4.853434, 4.904193, 4.904193, 4.975806, 4.830669, 4.843534, 4.843534, 4.914924, 4.914924, 4.939521]","[-1.942572, -1.20192, -1.20192, -0.299092, 20.138452, 14.208765, 14.208765, 14.768472, 14.768472, 20.276174, 20.276174, 20.138452, 14.85276, 9.647276, 9.647276, 7.407063000000001, 7.407063000000001, -1.942572, -1.942572, -9.669605, -8.20164, -2.397146, -2.397146, -0.299092, -0.299092, 6.349702, 6.349702, 5.948139, 5.948139, 9.934158, 5.948139, 7.407063000000001, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 2.440672, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 10.150833, 13.514466]",False
CMa,17,"['33160', '34045', '34045', '33347', '33347', '32349', '32349', '33977', '33977', '34444', '34444', '35037', '35037', '35904', '33579', '33856', '33856', '34444', '33579', '33152', '33152', '31592', '31592', '31125', '31592', '30324', '31592', '32349', '33579', '32759', '30122', '33579', '33347', '33160']",Canis Major,"[6.903167, 7.062637, 7.062637, 6.935617999999999, 6.935617999999999, 6.752481, 6.752481, 7.050408999999999, 7.050408999999999, 7.139857000000001, 7.139857000000001, 7.246849, 7.246849, 7.401584, 6.9770970000000005, 7.028652, 7.028652, 7.139857000000001, 6.9770970000000005, 6.902209, 6.902209, 6.6113990000000005, 6.6113990000000005, 6.530935, 6.6113990000000005, 6.378329, 6.6113990000000005, 6.752481, 6.9770970000000005, 6.8306830000000005, 6.338553, 6.9770970000000005, 6.935617999999999, 6.903167]","[-12.038628, -15.633285999999998, -15.633285999999998, -17.054242000000002, -17.054242000000002, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -28.972084, -24.184211, -24.184211, -19.255879, -19.255879, -23.418422, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478000000004, -30.063367, -28.972084, -17.054242000000002, -12.038628]",False
Lep,12,"['28910', '28103', '28103', '27288', '27288', '25985', '25985', '24305', '28910', '27654', '27654', '27072', '27072', '25606', '25606', '23685', '25985', '25606', '24305', '24845', '24305', '24327', '23685', '24305']",Lepus,"[6.10259, 5.940082, 5.940082, 5.782595, 5.782595, 5.545504, 5.545504, 5.215528, 6.10259, 5.855357, 5.855357, 5.741057, 5.741057, 5.470756, 5.470756, 5.091018, 5.545504, 5.470756, 5.215528, 5.326257, 5.215528, 5.220522, 5.091018, 5.215528]","[-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -16.205468, -14.935254, -20.879089, -20.879089, -22.448382, -22.448382, -20.759441, -20.759441, -22.371032, -17.822289, -20.759441, -16.205468, -13.176788, -16.205468, -12.941291, -22.371032, -16.205468]",False
Mon,10,"['41307', '39863', '29651', '30867', '30867', '34769', '34769', '32578', '32578', '30419', '34769', '39863', '39863', '37447', '32578', '31216', '30419', '31216', '31216', '31978']",Monoceros,"[8.427676, 8.143236, 6.247592, 6.480297, 6.480297, 7.197739, 7.197739, 6.797680000000001, 6.797680000000001, 6.396135, 7.197739, 8.143236, 8.143236, 7.687454, 6.797680000000001, 6.548396, 6.396135, 6.548396, 6.548396, 6.682961]","[-3.906424, -2.9837860000000003, -6.274776, -7.033061999999999, -7.033061999999999, -0.492764, -0.492764, 2.412159, 2.412159, 4.592865, -0.492764, -2.9837860000000003, -2.9837860000000003, -9.551131, 2.412159, 7.332965, 4.592865, 7.332965, 7.332965, 9.895754]",False
Eri,27,"['7588', '9007', '9007', '10602', '10602', '11407', '11407', '12486', '12486', '13847', '13847', '15510', '15510', '17874', '17874', '20042', '20042', '20535', '20535', '21393', '21393', '18673', '18673', '18216', '18216', '17717', '17717', '17651', '17651', '16611', '16611', '15474', '15474', '14146', '14146', '13701', '13701', '16537', '16537', '17378', '17378', '18543', '18543', '19849', '19849', '19587', '19587', '21444', '21444', '22109', '22109', '23875', '23875', '21594']",Eridanus,"[1.628556, 1.932564, 1.932564, 2.275154, 2.275154, 2.449755, 2.449755, 2.677781, 2.677781, 2.971023, 2.971023, 3.331944, 3.331944, 3.824237, 3.824237, 4.298237, 4.298237, 4.400613, 4.400613, 4.592512, 4.592512, 3.998745, 3.998745, 3.895195, 3.895195, 3.794347, 3.794347, 3.780804, 3.780804, 3.563132, 3.563132, 3.325278, 3.325278, 3.039863, 3.039863, 2.940458, 2.940458, 3.5488480000000004, 3.5488480000000004, 3.720806, 3.720806, 3.967157, 3.967157, 4.254537, 4.254537, 4.197761, 4.197761, 4.605316999999999, 4.605316999999999, 4.758375, 4.758375, 5.130829, 5.130829, 4.636340000000001]","[-57.236757, -51.608896, -51.608896, -51.512165, -51.512165, -47.70384, -47.70384, -39.855375, -39.855375, -40.304672, -40.304672, -43.069784000000006, -43.069784000000006, -36.20025, -36.20025, -33.798348, -33.798348, -34.016846, -34.016846, -30.562341, -30.562341, -24.016215, -24.016215, -24.61223, -24.61223, -23.874677, -23.874677, -23.249723, -23.249723, -21.632883, -21.632883, -21.757864, -21.757864, -23.624472, -23.624472, -8.898144, -8.898144, -9.458262, -9.458262, -9.763395, -9.763395, -13.508515, -13.508515, -7.652871, -7.652871, -6.837581, -6.837581, -3.352459, -3.352459, -3.254657, -3.254657, -5.086446, -5.086446, -14.30402]",False
Hya,17,"['42799', '42402', '42402', '42313', '42313', '43109', '43109', '43813', '43813', '42799', '43813', '45336', '45336', '47431', '47431', '46390', '46390', '49841', '49841', '51069', '51069', '52943', '52943', '53740', '53740', '54682', '54682', '56343', '56343', '57936', '57936', '64962', '64962', '68895']",Hydra,"[8.720410000000001, 8.645955, 8.645955, 8.627602, 8.627602, 8.779587, 8.779587, 8.92323, 8.92323, 8.720410000000001, 8.92323, 9.239405, 9.239405, 9.664267, 9.664267, 9.45979, 9.45979, 10.176467, 10.176467, 10.434842, 10.434842, 10.827079, 10.827079, 10.996244, 10.996244, 11.194302, 11.194302, 11.550038, 11.550038, 11.881813, 11.881813, 13.315359, 13.315359, 14.106193]","[3.3986620000000003, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.945563, 5.945563, 3.3986620000000003, 5.945563, 2.31428, 2.31428, -1.14281, -1.14281, -8.658603, -8.658603, -12.354083, -12.354083, -16.836289999999998, -16.836289999999998, -16.193648, -16.193648, -18.298783, -18.298783, -22.825847, -22.825847, -31.857625, -31.857625, -33.908124, -33.908124, -23.171512, -23.171512, -26.682361]",False
Crt,9,"['53740', '54682', '54682', '55705', '55705', '55282', '55282', '53740', '55282', '55687', '55687', '56633', '56633', '58188', '58188', '57283', '57283', '55705']",Crater,"[10.996244, 11.194302, 11.194302, 11.414702, 11.414702, 11.322347, 11.322347, 10.996244, 11.322347, 11.410164, 11.410164, 11.611365, 11.611365, 11.933599, 11.933599, 11.746049, 11.746049, 11.414702]","[-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -14.778541, -14.778541, -18.298783, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401]",False
Ant,1,"['51172', '51172']",Antlia,"[10.45253, 10.45253]","[-31.067779, -31.067779]",False
Vir,17,"['57380', '57757', '57757', '60129', '60129', '61941', '61941', '58948', '58948', '57380', '61941', '64238', '64238', '65474', '65474', '69427', '69427', '69701', '69701', '71957', '65474', '66249', '66249', '68520', '68520', '72220', '66249', '63090', '63090', '63608', '63090', '61941', '69701', '68520']",Virgo,"[11.764322, 11.844922, 11.844922, 12.331766, 12.331766, 12.694345, 12.694345, 12.086817, 12.086817, 11.764322, 12.694345, 13.165831, 13.165831, 13.419883, 13.419883, 14.214929, 14.214929, 14.266908, 14.266908, 14.717673, 13.419883, 13.578220000000002, 13.578220000000002, 14.027443, 14.027443, 14.770812, 13.578220000000002, 12.926725, 12.926725, 13.036278, 12.926725, 12.694345, 14.266908, 14.027443]","[6.529376, 1.764718, 1.764718, -0.6668029999999999, -0.6668029999999999, -1.449375, -1.449375, 8.732985000000001, 8.732985000000001, 6.529376, -1.449375, -5.53901, -5.53901, -11.161322, -11.161322, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -11.161322, -0.59582, -0.59582, 1.544532, 1.544532, 1.892885, -0.59582, 3.39747, 3.39747, 10.95915, 3.39747, -1.449375, -6.000547, 1.544532]",True
Lib,6,"['73714', '72622', '72622', '74785', '74785', '76333', '76333', '72622', '76333', '76470', '76470', '76600']",Libra,"[15.067839, 14.847976999999998, 14.847976999999998, 15.283449, 15.283449, 15.592104999999998, 15.592104999999998, 14.847976999999998, 15.592104999999998, 15.617070000000002, 15.617070000000002, 15.64427]","[-25.281965, -16.041778, -16.041778, -9.382917, -9.382917, -14.789537, -14.789537, -16.041778, -14.789537, -28.135079, -28.135079, -29.777754]",True
Crv,7,"['61174', '60965', '60965', '59803', '59803', '59316', '59316', '59199', '59316', '60189', '60189', '61359', '60189', '60965']",Corvus,"[12.53451, 12.497739, 12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.140225, 12.168746, 12.34268, 12.34268, 12.573121, 12.34268, 12.497739]","[-16.196007, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -22.215901, -22.215901, -23.396759, -22.215901, -16.515432]",False
Oph,21,"['85423', '84405', '84405', '84970', '84970', '85340', '85340', '84893', '84893', '84012', '84012', '85365', '85365', '86742', '86742', '87108', '87108', '88601', '86742', '86032', '86032', '83000', '83000', '86742', '83000', '82673', '82673', '80883', '80883', '79593', '83000', '81377', '81377', '80894', '80894', '80569', '80569', '80343', '80343', '80975', '81377', '84012']",Ophiuchus,"[17.455909, 17.255836, 17.255836, 17.366827, 17.366827, 17.439504, 17.439504, 17.350101000000002, 17.350101000000002, 17.172968, 17.172968, 17.443856, 17.443856, 17.724543, 17.724543, 17.798211, 17.798211, 18.090913, 17.724543, 17.582241, 17.582241, 16.961139000000003, 16.961139000000003, 17.724543, 16.961139000000003, 16.900131, 16.900131, 16.515229, 16.515229, 16.239094, 16.961139000000003, 16.619316, 16.619316, 16.518991, 16.518991, 16.450398999999997, 16.450398999999997, 16.401718, 16.401718, 16.535611, 16.619316, 17.172968]","[-29.867033000000003, -26.602829, -26.602829, -24.999545, -24.999545, -24.175309, -24.175309, -21.112933, -21.112933, -15.72491, -15.72491, -5.086596, -5.086596, 4.567303, 4.567303, 2.707276, 2.707276, 2.500099, 4.567303, 12.560035, 12.560035, 9.375033, 9.375033, 4.567303, 9.375033, 10.165359, 10.165359, 1.983923, 1.983923, -3.694323, 9.375033, -10.56709, -10.56709, -16.612733, -16.612733, -18.456251, -18.456251, -20.037327, -20.037327, -21.46639, -10.56709, -15.72491]",False
Ser,19,"['92946', '88771', '88771', '88601', '88601', '89962', '89962', '88048', '88048', '86565', '86565', '86263', '86263', '84880', '80628', '79882', '79882', '79593', '79593', '77516', '77516', '77622', '77622', '77070', '77070', '77257', '77257', '76276', '76276', '77233', '77233', '78072', '78072', '77450', '77450', '76852', '76852', '77233']",Serpens,"[18.936995, 18.122496, 18.122496, 18.090913, 18.090913, 18.355167, 18.355167, 17.983775, 17.983775, 17.690243, 17.690243, 17.626445, 17.626445, 17.347128, 16.463385, 16.305358, 16.305358, 16.239094, 16.239094, 15.827001999999998, 15.827001999999998, 15.846935, 15.846935, 15.737798000000002, 15.737798000000002, 15.77406, 15.77406, 15.580041, 15.580041, 15.769793, 15.769793, 15.940882, 15.940882, 15.812327, 15.812327, 15.692516, 15.692516, 15.769793]","[4.203595, 9.563847, 9.563847, 2.500099, 2.500099, -2.898825, -2.898825, -9.773632, -9.773632, -12.875307, -12.875307, -15.398557, -15.398557, -12.846875, -8.371731, -4.692511, -4.692511, -3.694323, -3.694323, -3.4302080000000004, -3.4302080000000004, 4.47773, 4.47773, 6.425627, 6.425627, 7.353072999999999, 7.353072999999999, 10.538867, 10.538867, 15.421826, 15.421826, 15.661617, 15.661617, 18.141564, 18.141564, 19.670401, 19.670401, 15.421826]",False
Sco,19,"['87261', '85927', '85927', '85696', '85696', '86170', '86170', '86670', '86670', '87073', '87073', '86228', '86228', '84143', '84143', '82729', '82729', '82514', '82514', '82396', '82396', '81266', '81266', '80763', '80763', '80112', '80112', '79404', '79404', '78104', '78104', '78265', '80112', '79374', '79374', '78820', '78820', '78401']",Scorpius,"[17.830965, 17.560145000000002, 17.560145000000002, 17.512732, 17.512732, 17.609121, 17.609121, 17.708132, 17.708132, 17.793078, 17.793078, 17.621979999999997, 17.621979999999997, 17.202551999999997, 17.202551999999997, 16.909731, 16.909731, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.353143, 16.353143, 16.205057, 16.205057, 15.948077, 15.948077, 15.980865, 16.353143, 16.199926, 16.199926, 16.09062, 16.09062, 16.005557]","[-37.043304, -37.103821, -37.103821, -37.295811, -37.295811, -38.635308, -38.635308, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.361313, -42.361313, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -27.926372, -27.926372, -29.214073, -29.214073, -26.114105, -25.592796, -19.460708, -19.460708, -19.805453, -19.805453, -22.62171]",True
Aql,10,"['98036', '97649', '97649', '97278', '97278', '96229', '96229', '95501', '95501', '97804', '99473', '97804', '95501', '93747', '93747', '93244', '95501', '93805', '93805', '93429']",Aquila,"[19.921887, 19.846388, 19.846388, 19.770994, 19.770994, 19.568153, 19.568153, 19.424972, 19.424972, 19.874547, 20.188413, 19.874547, 19.424972, 19.090169, 19.090169, 18.993711, 19.424972, 19.10415, 19.10415, 19.028008]","[6.406763, 8.868322000000001, 8.868322000000001, 10.613261, 10.613261, 7.378941, 7.378941, 3.114775, 3.114775, 1.005661, -0.8214610000000001, 1.005661, 3.114775, 13.863478, 13.863478, 15.068298, 3.114775, -4.882554, -4.882554, -5.739115]",False
Sgr,22,"['88635', '89931', '89931', '90185', '90185', '89642', '89642', '88635', '88635', '89341', '89341', '90496', '90496', '89931', '89931', '92041', '92041', '92855', '92855', '94141', '94141', '95168', '95168', '95176', '94141', '93085', '93085', '92855', '92855', '93864', '93864', '93506', '93506', '92041', '93864', '98412', '98412', '98032', '95241', '95347', '95347', '98412', '95347', '93506']",Sagittarius,"[18.096803, 18.3499, 18.3499, 18.402868, 18.402868, 18.293793, 18.293793, 18.096803, 18.096803, 18.229392, 18.229392, 18.466179, 18.466179, 18.3499, 18.3499, 18.76094, 18.76094, 18.92109, 18.92109, 19.162731, 19.162731, 19.361211, 19.361211, 19.362117, 19.162731, 18.962167, 18.962167, 18.92109, 18.92109, 19.11567, 19.11567, 19.043532, 19.043532, 18.76094, 19.11567, 19.995605, 19.995605, 19.921026, 19.377303, 19.398103, 19.398103, 19.995605, 19.398103, 19.043532]","[-30.424091, -29.828103, -29.828103, -34.384615999999994, -34.384615999999994, -36.761686, -36.761686, -30.424091, -30.424091, -21.058834, -21.058834, -25.4217, -25.4217, -29.828103, -29.828103, -26.990778, -26.990778, -26.296721999999995, -26.296721999999995, -21.023615, -21.023615, -17.847197, -17.847197, -15.955018, -21.023615, -21.106654, -21.106654, -26.296721999999995, -26.296721999999995, -27.670423, -27.670423, -29.880105, -29.880105, -26.990778, -27.670423, -35.276305, -35.276305, -41.868288, -44.458965, -40.61594, -40.61594, -35.276305, -40.61594, -29.880105]",True
Sge,3,"['98337', '97365', '97365', '96837', '97365', '96757']",Sagitta,"[19.979285, 19.789795, 19.789795, 19.68415, 19.789795, 19.668275]","[19.492148, 18.534286, 18.534286, 17.476041, 18.534286, 18.01389]",False
Del,10,"['101421', '101916', '101421', '101800', '101916', '101800', '101800', '101882', '101882', '102281', '102281', '102532', '102532', '101958', '101958', '101769', '101769', '101483', '101483', '101800']",Delphinus,"[20.553547, 20.652161, 20.553547, 20.630311, 20.652161, 20.630311, 20.630311, 20.645552, 20.645552, 20.724315, 20.724315, 20.77764, 20.77764, 20.660635, 20.660635, 20.625816, 20.625816, 20.565845, 20.565845, 20.630311]","[11.303263, 10.086203, 11.303263, 11.377676, 10.086203, 11.377676, 11.377676, 13.315125, 13.315125, 15.074581, 15.074581, 16.124295999999998, 16.124295999999998, 15.912072, 15.912072, 14.595087, 14.595087, 13.027255, 13.027255, 11.377676]",False
CrA,7,"['92989', '93174', '93174', '93825', '93825', '94114', '94114', '94160', '94160', '94005', '94005', '93542', '93542', '92953']",Corona Australis,"[18.944582, 18.978721, 18.978721, 19.106971, 19.106971, 19.157869, 19.157869, 19.167154, 19.167154, 19.139156, 19.139156, 19.051907, 19.051907, 18.938044]","[-37.343241, -37.107357, -37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.340796000000005, -39.340796000000005, -40.496703, -40.496703, -42.095105, -42.095105, -42.710676]",False
Sct,4,"['92175', '91726', '91726', '90595', '90595', '91117', '91117', '92175']",Scutum,"[18.786242, 18.704563, 18.704563, 18.486626, 18.486626, 18.586785, 18.586785, 18.786242]","[-4.747866999999999, -9.052549, -9.052549, -14.565813, -14.565813, -8.244073, -8.244073, -4.747866999999999]",False
Cap,14,"['100064', '100345', '100345', '104139', '104139', '105515', '105515', '106985', '106985', '107556', '105515', '106039', '106039', '105881', '105881', '104139', '104139', '104019', '104019', '104234', '104019', '101027', '100345', '101027', '101027', '102485', '102485', '102978']",Capricornus,"[20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.478721, 21.478721, 21.444452, 21.444452, 21.099118, 21.099118, 21.073417000000003, 21.073417000000003, 21.118797, 21.073417000000003, 20.481004, 20.350187, 20.481004, 20.481004, 20.76826, 20.76826, 20.863692]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000003, -16.834542000000003, -16.662308, -16.662308, -16.127285999999998, -16.834542000000003, -21.80718, -21.80718, -22.411332, -22.411332, -17.232861, -17.232861, -19.854991, -19.854991, -25.005853, -19.854991, -17.813686999999998, -14.781367, -17.813686999999998, -17.813686999999998, -25.270898000000003, -25.270898000000003, -26.919133]",True
Aqr,23,"['102618', '103045', '103045', '104459', '104459', '106278', '106278', '109139', '106278', '109074', '109074', '110395', '110395', '111497', '111497', '110672', '110672', '109074', '109074', '110003', '110003', '112961', '112961', '114855', '114855', '114724', '114724', '112961', '112961', '112716', '112716', '113136', '113136', '114855', '114855', '114341', '114341', '114375', '114375', '114119', '114855', '115438', '115438', '115669', '115669', '116247']",Aquarius,"[20.794598, 20.877565, 20.877565, 21.159902, 21.159902, 21.525982, 21.525982, 22.107286, 21.525982, 22.096399, 22.096399, 22.360938, 22.360938, 22.589272, 22.589272, 22.421284, 22.421284, 22.096399, 22.096399, 22.280565, 22.280565, 22.87691, 22.87691, 23.264859, 23.264859, 23.238711, 23.238711, 22.87691, 22.87691, 22.826528, 22.826528, 22.910837, 22.910837, 23.264859, 23.264859, 23.157443, 23.157443, 23.165249, 23.165249, 23.111345, 23.264859, 23.382842, 23.382842, 23.434108, 23.434108, 23.554618]","[-9.495776, -8.983317999999999, -8.983317999999999, -11.371693, -11.371693, -5.571172, -5.571172, -13.869679, -5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.117498, -0.117498, 1.377401, 1.377401, -0.319851, -0.319851, -7.783289999999999, -7.783289999999999, -7.579599000000001, -7.579599000000001, -9.087737, -9.087737, -6.049003, -6.049003, -7.579599000000001, -7.579599000000001, -13.592632, -13.592632, -15.82082, -15.82082, -9.087737, -9.087737, -21.17241, -21.17241, -22.457611, -22.457611, -23.743115, -9.087737, -20.10058, -20.10058, -20.642014, -20.642014, -20.914504]",True
Equ,2,"['104987', '104858', '104858', '104521']",Equuleus,"[21.263731, 21.241337, 21.241337, 21.172361]","[5.247845, 10.006981, 10.006981, 10.131579]",False
PsA,9,"['113368', '111954', '111954', '109285', '109285', '107380', '107380', '107608', '107608', '109285', '109285', '111188', '111188', '112948', '112948', '113246', '113246', '113368']",Piscis Austrinus,"[22.960838, 22.677594, 22.677594, 22.139722, 22.139722, 21.749113, 21.749113, 21.795598, 21.795598, 22.139722, 22.139722, 22.52509, 22.52509, 22.875427, 22.875427, 22.932472, 22.932472, 22.960838]","[-29.622236, -27.043617, -27.043617, -32.988468, -32.988468, -33.025781, -33.025781, -30.898304, -30.898304, -32.988468, -32.988468, -32.346073, -32.346073, -32.875504, -32.875504, -32.539628, -32.539628, -29.622236]",False
Gru,9,"['114131', '110997', '110997', '109268', '109268', '112122', '112122', '114421', '114421', '114131', '112122', '113638', '112122', '112623', '109268', '109111', '109111', '108085']",Grus,"[23.11465, 22.487825, 22.487825, 22.137209, 22.137209, 22.711115, 22.711115, 23.17264, 23.17264, 23.11465, 22.711115, 23.014677, 22.711115, 22.809239, 22.137209, 22.101914, 22.101914, 21.898808]","[-43.520358, -43.495565, -43.495565, -46.960975, -46.960975, -46.884577, -46.884577, -45.246711, -45.246711, -43.520358, -46.884577, -52.754137, -46.884577, -51.316864, -46.960975, -39.543353, -39.543353, -37.364852]",False
Phe,12,"['5348', '5165', '5165', '3245', '3245', '2072', '3245', '5348', '5165', '7083', '7083', '8837', '8837', '5165', '5165', '6867', '6867', '3245', '2072', '2081', '2081', '765', '765', '2072']",Phoenix,"[1.139742, 1.101407, 1.101407, 0.688766, 0.688766, 0.436716, 0.688766, 1.139742, 1.101407, 1.520851, 1.520851, 1.894102, 1.894102, 1.101407, 1.101407, 1.472759, 1.472759, 0.688766, 0.436716, 0.438056, 0.438056, 0.156836, 0.156836, 0.436716]","[-55.24576, -46.718414, -46.718414, -46.085007, -46.085007, -43.679829, -46.085007, -55.24576, -46.718414, -49.072702, -49.072702, -46.302669, -46.302669, -46.718414, -46.718414, -43.318234, -43.318234, -46.085007, -43.679829, -42.305981, -42.305981, -45.747426, -45.747426, -43.679829]",False
Psc,20,"['5586', '5742', '5586', '6193', '6193', '5742', '5742', '6706', '6706', '7097', '7097', '8198', '8198', '9487', '9487', '7884', '7884', '7007', '7007', '5737', '5737', '4906', '4906', '3786', '3786', '118268', '118268', '116771', '116771', '116928', '116928', '115738', '115738', '114971', '114971', '115227', '115227', '115830', '115830', '116771']",Pisces,"[1.194342, 1.229152, 1.194342, 1.324443, 1.324443, 1.229152, 1.229152, 1.437573, 1.437573, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.228857, 1.228857, 1.049058, 1.049058, 0.811373, 0.811373, 23.988525, 23.988525, 23.665844, 23.665844, 23.700779, 23.700779, 23.448876, 23.448876, 23.286094, 23.286094, 23.339051, 23.339051, 23.466138, 23.466138, 23.665844]","[30.089638, 24.583713, 30.089638, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 19.172346, 19.172346, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 5.487613, 5.487613, 6.14382, 6.14382, 7.575353999999999, 7.575353999999999, 7.890135000000001, 7.890135000000001, 7.585078999999999, 7.585078999999999, 6.863321000000001, 6.863321000000001, 5.626291999999999, 5.626291999999999, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 5.381307, 5.381307, 6.378992, 6.378992, 5.626291999999999]",True
Cet,14,"['12706', '11484', '11484', '12828', '12828', '13954', '13954', '14135', '14135', '12706', '12706', '12387', '12387', '10826', '10826', '8645', '8645', '6537', '6537', '1562', '1562', '3419', '3419', '8102', '3419', '9347', '9347', '12387']",Cetus,"[2.721678, 2.469317, 2.469317, 2.749039, 2.749039, 2.99525, 2.99525, 3.037992, 3.037992, 2.721678, 2.721678, 2.658044, 2.658044, 2.322442, 2.322442, 1.857676, 1.857676, 1.40039, 1.40039, 0.323799, 0.323799, 0.72649, 0.72649, 1.734479, 0.72649, 2.000084, 2.000084, 2.658044]","[3.235818, 8.460054, 8.460054, 10.114146, 10.114146, 8.907364999999999, 8.907364999999999, 4.089734, 4.089734, 3.235818, 3.235818, 0.328511, 0.328511, -2.977643, -2.977643, -10.335038, -10.335038, -8.183257000000001, -8.183257000000001, -8.823921, -8.823921, -17.986604999999997, -17.986604999999997, -15.93748, -17.986604999999997, -21.077831, -21.077831, 0.328511]",False
Scl,1,"['4577', '4577']",Sculptor,"[0.976766, 0.976766]","[-29.357449, -29.357449]",False
Car,14,"['39953', '38827', '38827', '41037', '41037', '45556', '45556', '50371', '50371', '51232', '51232', '51849', '51849', '53253', '53253', '54463', '53253', '52468', '52468', '51576', '51576', '52419', '52419', '50099', '50099', '45238', '45238', '30438']",Carina,"[8.158876, 7.946313000000001, 7.946313000000001, 8.375236, 8.375236, 9.284838, 9.284838, 10.28472, 10.28472, 10.464649, 10.464649, 10.59314, 10.59314, 10.891559, 10.891559, 11.143165, 10.891559, 10.725639, 10.725639, 10.533743, 10.533743, 10.715949, 10.715949, 10.228961, 10.228961, 9.220041, 9.220041, 6.399195]","[-47.336588, -52.98236, -52.98236, -59.509483, -59.509483, -59.275229, -59.275229, -61.332304, -61.332304, -58.739403, -58.739403, -57.557636, -57.557636, -58.853171, -58.853171, -58.975037, -58.853171, -60.566619, -60.566619, -61.685332, -61.685332, -64.39445, -64.39445, -70.037903, -70.037903, -69.717208, -69.717208, -52.69566]",False
