constellation,num_pairs,stars,name,ra,dec,zodiac
CrB,5,"['76127', '75695', '75695', '76267', '76267', '76952', '76952', '77512', '77512', '78159']",Corona Borealis,"[15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788]",False
Com,5,"['64241', '64394', '64394', '60742', '64394', '60697', '64394', '60746', '64394', '60904']",Coma Berenices,"[13.166469, 13.197904, 13.197904, 12.448966, 13.197904, 12.440017999999998, 13.197904, 12.449805, 13.197904, 12.481863]","[17.529431, 27.878183, 27.878183, 28.268423, 27.878183, 27.268237, 27.878183, 26.825699, 27.878183, 25.912852]",False
Lyr,10,"['91262', '91926', '91926', '92862', '92862', '94481', '94481', '94713', '94713', '93194', '93194', '92420', '92420', '89826', '89826', '91262', '93194', '92791', '92420', '91971']",Lyra,"[18.61564, 18.739661, 18.739661, 18.922249, 18.922249, 19.229302, 19.229302, 19.272804, 19.272804, 18.982395, 18.982395, 18.834665, 18.834665, 18.331031, 18.331031, 18.61564, 18.982395, 18.908412, 18.834665, 18.746209]","[38.783692, 39.612721, 39.612721, 43.946088, 43.946088, 39.145968, 39.145968, 38.133731, 38.133731, 32.689557, 32.689557, 33.362667, 33.362667, 36.064547, 36.064547, 38.783692, 32.689557, 36.898613, 33.362667, 37.605115000000005]",False
Cyg,16,"['94779', '97165', '97165', '100453', '100453', '102098', '102098', '104060', '102098', '99848', '99848', '95853', '95853', '94779', '100453', '102488', '102488', '104732', '104732', '103413', '103413', '102098', '103413', '105102', '105102', '104887', '100453', '98110', '98110', '96683', '96683', '95947']",Cygnus,"[19.28504, 19.749574, 19.749574, 20.370473, 20.370473, 20.690532, 20.690532, 21.082184, 20.690532, 20.257867, 20.257867, 19.495098, 19.495098, 19.28504, 20.370473, 20.770178, 20.770178, 21.215607, 21.215607, 20.952893, 20.952893, 20.690532, 20.952893, 21.290265, 21.290265, 21.246517, 20.370473, 19.938438, 19.938438, 19.656279, 19.656279, 19.512023000000003]","[53.368459, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 45.280338, 43.927852, 45.280338, 47.714208, 47.714208, 51.729779, 51.729779, 53.368459, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 41.167136, 41.167136, 45.280338, 41.167136, 39.394681, 39.394681, 38.045317, 40.256679, 35.083424, 35.083424, 30.153321, 30.153321, 27.959681]",False
Her,25,"['84345', '84379', '84379', '85693', '85693', '86974', '86974', '88794', '88794', '88267', '88267', '88886', '88886', '90139', '90139', '92043', '92043', '92161', '88794', '87933', '87933', '84380', '84380', '85112', '85112', '87808', '87808', '86414', '86414', '81126', '81126', '79101', '79101', '79992', '79992', '86414', '86974', '83207', '83207', '81693', '81693', '81833', '81833', '84380', '84380', '83207', '83207', '80816', '80816', '80170']",Hercules,"[17.244127, 17.250531, 17.250531, 17.512307999999997, 17.512307999999997, 17.774319000000002, 17.774319000000002, 18.125708, 18.125708, 18.025113, 18.025113, 18.14597, 18.14597, 18.394967, 18.394967, 18.761035, 18.761035, 18.783686, 18.125708, 17.962744, 17.962744, 17.250788, 17.250788, 17.394707999999998, 17.394707999999998, 17.93755, 17.93755, 17.657747, 17.657747, 16.568384, 16.568384, 16.146162, 16.146162, 16.329010999999998, 16.329010999999998, 17.657747, 17.774319000000002, 17.004827, 17.004827, 16.688113, 16.688113, 16.714933, 16.714933, 17.250788, 17.250788, 17.004827, 17.004827, 16.503667999999998, 16.503667999999998, 16.365338]","[14.390332999999998, 24.839204, 24.839204, 26.110645, 26.110645, 27.720676, 27.720676, 28.762488, 28.762488, 21.595782, 21.595782, 20.814557, 20.814557, 21.769752, 21.769752, 20.546308, 20.546308, 18.181519, 28.762488, 29.24788, 29.24788, 36.809162, 36.809162, 37.145946, 37.145946, 37.250539, 37.250539, 46.006332, 46.006332, 42.437041, 42.437041, 44.934906, 44.934906, 46.313366, 46.313366, 46.006332, 27.720676, 30.926405, 30.926405, 31.602726, 31.602726, 38.922254, 38.922254, 36.809162, 36.809162, 30.926405, 30.926405, 21.489613, 21.489613, 19.15313]",False
Vul,1,"['95771', '98543']",Vulpecula,"[19.478427, 20.018346]","[24.664905, 27.753573]",False
And,18,"['677', '3092', '3092', '2912', '2912', '5447', '5447', '3092', '3092', '3031', '3031', '3693', '3693', '4463', '5447', '7513', '7513', '9640', '5447', '4436', '4436', '3881', '3881', '5434', '5434', '7607', '2912', '1411', '1411', '116631', '116584', '116805', '116805', '116631', '116631', '113726']",Andromeda,"[0.139791, 0.655462, 0.655462, 0.61468, 0.61468, 1.162194, 1.162194, 0.655462, 0.655462, 0.642602, 0.642602, 0.788981, 0.788981, 0.953445, 1.162194, 1.613299, 1.613299, 2.064984, 1.162194, 0.945885, 0.945885, 0.830234, 0.830234, 1.158368, 1.158368, 1.633205, 0.61468, 0.294547, 0.294547, 23.63561, 23.626056, 23.673469, 23.673469, 23.63561, 23.63561, 23.032017]","[29.090432, 30.861024, 30.861024, 33.719344, 33.719344, 35.620558, 35.620558, 30.861024, 30.861024, 29.311751, 29.311751, 24.267178, 24.267178, 23.417648, 35.620558, 41.405459, 41.405459, 42.329725, 35.620558, 38.499345, 38.499345, 41.078911, 41.078911, 47.241792, 47.241792, 48.628213, 33.719344, 37.537641, 37.537641, 43.268073, 46.458152, 44.333932, 44.333932, 43.268073, 43.268073, 42.325979]",False
Peg,18,"['113963', '113881', '113881', '1067', '1067', '113963', '113963', '112440', '112440', '112748', '112748', '112158', '112158', '109410', '114520', '113963', '113963', '114144', '113963', '112447', '112447', '112029', '112029', '109427', '112029', '107315', '112447', '109176', '109176', '107348', '112440', '109176', '109176', '107354', '107354', '105502']",Pegasus,"[23.079348, 23.062901, 23.062901, 0.220598, 0.220598, 23.079348, 23.079348, 22.775521, 22.775521, 22.833385, 22.833385, 22.716704, 22.716704, 22.166457, 23.195608, 23.079348, 23.079348, 23.116739000000003, 23.079348, 22.778216, 22.778216, 22.691033, 22.691033, 22.169996, 22.691033, 21.736433, 22.778216, 22.116847, 22.116847, 21.74186, 22.775521, 22.116847, 22.116847, 21.744092, 21.744092, 21.36811]","[15.205264, 28.082789, 28.082789, 15.183596, 15.183596, 15.205264, 15.205264, 23.565654, 23.565654, 24.601579, 24.601579, 30.221245, 30.221245, 33.178224, 8.720116, 15.205264, 15.205264, 9.409492, 15.205264, 12.172888, 12.172888, 10.831364, 10.831364, 6.197865, 10.831364, 9.875011, 12.172888, 25.345112, 25.345112, 17.350017, 23.565654, 25.345112, 25.345112, 25.645036, 25.645036, 19.804508]",False
Tri,3,"['10670', '10064', '10064', '8796', '8796', '10670']",Triangulum,"[2.288573, 2.1590580000000004, 2.1590580000000004, 1.884696, 1.884696, 2.288573]","[33.847194, 34.987297, 34.987297, 29.578829, 29.578829, 33.847194]",False
Lac,10,"['109937', '109754', '109754', '111104', '111104', '111944', '111944', '111022', '111022', '110351', '110351', '111104', '111022', '110609', '110609', '110538', '110538', '111169', '111169', '111022']",Lacerta,"[22.26616, 22.231312, 22.231312, 22.508128, 22.508128, 22.675233, 22.675233, 22.492173, 22.492173, 22.350428, 22.350428, 22.508128, 22.492173, 22.408609, 22.408609, 22.392675, 22.392675, 22.521515, 22.521515, 22.492173]","[37.748737, 39.714927, 39.714927, 43.123376, 43.123376, 44.276305, 44.276305, 47.706887, 47.706887, 46.536569, 46.536569, 43.123376, 47.706887, 49.476392, 49.476392, 52.229046, 52.229046, 50.282491, 50.282491, 47.706887]",False
Per,25,"['17448', '18246', '18246', '18614', '18614', '18532', '18532', '14576', '14576', '14354', '14354', '13254', '18532', '17529', '17529', '16335', '16335', '15863', '15863', '16826', '16826', '17358', '17358', '19343', '19343', '19812', '19812', '20070', '20070', '19167', '14576', '14668', '14668', '14632', '14632', '13531', '13531', '13268', '13268', '14328', '14328', '13531', '14328', '15863', '15863', '14632', '14632', '12777', '12777', '8068']",Perseus,"[3.738648, 3.9022, 3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.136148, 3.136148, 3.0862700000000003, 3.0862700000000003, 2.843063, 3.96423, 3.753232, 3.753232, 3.509579, 3.509579, 3.405378, 3.405378, 3.608159, 3.608159, 3.715416, 3.715416, 4.144357, 4.144357, 4.248295, 4.248295, 4.304056, 4.304056, 4.109735, 3.136148, 3.158258, 3.158258, 3.151005, 3.151005, 2.9042950000000003, 2.9042950000000003, 2.844945, 2.844945, 3.079942, 3.079942, 2.9042950000000003, 3.079942, 3.405378, 3.405378, 3.151005, 3.151005, 2.736634, 2.736634, 1.727675]","[32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644, 40.010215, 42.578549, 42.578549, 47.995216, 47.995216, 49.86118, 49.86118, 48.192634000000005, 48.192634000000005, 47.787551, 47.787551, 47.712513, 47.712513, 48.409331, 48.409331, 50.295502, 50.295502, 50.351262, 40.955648, 44.857544, 44.857544, 49.613278, 49.613278, 52.762479000000006, 52.762479000000006, 55.895496, 55.895496, 53.506440000000005, 53.506440000000005, 52.762479000000006, 53.506440000000005, 49.86118, 49.86118, 49.613278, 49.613278, 49.228448, 49.228448, 50.688732]",False
Tau,20,"['25428', '21881', '21881', '20711', '20711', '17702', '21881', '26451', '26451', '21421', '21421', '20894', '20894', '20205', '20205', '20455', '20455', '20648', '20648', '20889', '20889', '20711', '20205', '21589', '21589', '21402', '20205', '19860', '20205', '18724', '18724', '16083', '16083', '16369', '16083', '15900', '15900', '16852', '15900', '18907']",Taurus,"[5.438198000000001, 4.704084, 4.704084, 4.438461, 4.438461, 3.79141, 4.704084, 5.627413, 5.627413, 4.598677, 4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.424828, 4.424828, 4.476943, 4.476943, 4.438461, 4.329889, 4.635961, 4.635961, 4.594239, 4.329889, 4.258905, 4.329889, 4.011337999999999, 4.011337999999999, 3.45282, 3.45282, 3.514549, 3.45282, 3.413554, 3.413554, 3.614551, 3.413554, 4.052606]","[28.60745, 22.956926, 22.956926, 22.813583, 22.813583, 24.105137, 22.956926, 21.142549, 21.142549, 16.509301, 16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 17.92791, 17.92791, 19.180431, 19.180431, 22.813583, 15.627642000000002, 12.510838, 12.510838, 10.16079, 15.627642000000002, 8.892357, 15.627642000000002, 12.490347, 12.490347, 9.73268, 9.73268, 12.936678, 9.73268, 9.02887, 9.02887, 0.4016619999999999, 9.02887, 5.989305]",True
Ari,12,"['14838', '13914', '13914', '10306', '10306', '8832', '13914', '13209', '13209', '13061', '13061', '12719', '12719', '13209', '12719', '9884', '9884', '9153', '9153', '8903', '8903', '9884', '9884', '10306']",Aries,"[3.193822, 2.986868, 2.986868, 2.213355, 2.213355, 1.89217, 2.986868, 2.833063, 2.833063, 2.79848, 2.79848, 2.724198, 2.724198, 2.833063, 2.724198, 2.119555, 2.119555, 1.965478, 1.965478, 1.910668, 1.910668, 2.119555, 2.119555, 2.213355]","[19.726677, 21.340429, 21.340429, 21.210993, 21.210993, 19.293852, 21.340429, 27.260507, 27.260507, 29.247118, 29.247118, 27.707146, 27.707146, 27.260507, 27.707146, 23.462423, 23.462423, 23.596061, 23.596061, 20.808035, 20.808035, 23.462423, 23.462423, 21.210993]",True
Gem,17,"['31681', '34088', '34088', '35550', '35550', '35350', '35350', '32362', '35550', '36962', '36962', '37740', '36962', '37826', '36962', '36046', '36046', '34693', '34693', '36366', '36366', '36850', '34693', '33018', '34693', '32246', '32246', '30883', '32246', '30343', '30343', '29655', '29655', '28734']",Gemini,"[6.628528, 7.068480999999999, 7.068480999999999, 7.335383, 7.335383, 7.30155, 7.30155, 6.754824, 7.335383, 7.598708, 7.598708, 7.740792999999999, 7.598708, 7.755277, 7.598708, 7.428779, 7.428779, 7.185658999999999, 7.185658999999999, 7.485195, 7.485195, 7.576633999999999, 7.185658999999999, 6.879816, 7.185658999999999, 6.732202, 6.732202, 6.482719, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.247961, 6.247961, 6.068671]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.78455, 31.78455, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]",True
Aur,10,"['23015', '28380', '28380', '28360', '28360', '28358', '28358', '24608', '24608', '28360', '23015', '23767', '23767', '24608', '24608', '23416', '23416', '23453', '23453', '23767']",Auriga,"[4.9498940000000005, 5.995351, 5.995351, 5.992149, 5.992149, 5.992111, 5.992111, 5.27815, 5.27815, 5.992149, 4.9498940000000005, 5.10858, 5.10858, 5.27815, 5.27815, 5.032815, 5.032815, 5.041301, 5.041301, 5.10858]","[33.166090000000004, 37.212585, 37.212585, 44.947433, 44.947433, 54.284656000000005, 54.284656000000005, 45.997991, 45.997991, 44.947433, 33.166090000000004, 41.234474, 41.234474, 45.997991, 45.997991, 43.823308, 43.823308, 41.075837, 41.075837, 41.234474]",False
